Image_Name,Folder,Fault_Type,Severity,ActionTaken,ResolutionStatus,Cost,Downtime_Days,RepairStartDate,RepairEndDate
274.bmp,A50,Stator fault,50,Component Replacement,Resolved,5956,2,2024-03-30,2024-04-01
275.bmp,A50,Stator fault,50,Component Replacement,Resolved,4023,2,2024-02-26,2024-02-28
276.bmp,A50,Stator fault,50,Component Replacement,Resolved,6605,2,2024-01-13,2024-01-15
277.bmp,A50,Stator fault,50,Component Replacement,Resolved,5406,1,2024-02-25,2024-02-26
278.bmp,A50,Stator fault,50,Component Replacement,Resolved,6694,1,2024-02-23,2024-02-24
279.bmp,A50,Stator fault,50,Component Replacement,Resolved,3518,1,2024-02-28,2024-02-29
280.bmp,A50,Stator fault,50,Component Replacement,Resolved,6054,1,2024-02-19,2024-02-20
281.bmp,A50,Stator fault,50,Component Replacement,Resolved,7163,1,2024-03-25,2024-03-26
282.bmp,A50,Stator fault,50,Component Replacement,Resolved,6847,2,2024-01-20,2024-01-22
283.bmp,A50,Stator fault,50,Component Replacement,Resolved,6165,2,2024-02-04,2024-02-06
284.bmp,A50,Stator fault,50,Component Replacement,Resolved,5406,3,2024-03-07,2024-03-10
285.bmp,A50,Stator fault,50,Component Replacement,Resolved,3276,2,2024-01-03,2024-01-05
286.bmp,A50,Stator fault,50,Component Replacement,Resolved,6416,1,2024-03-24,2024-03-25
287.bmp,A50,Stator fault,50,Component Replacement,Resolved,4733,1,2024-01-22,2024-01-23
288.bmp,A50,Stator fault,50,Component Replacement,Resolved,5870,3,2024-04-10,2024-04-13
289.bmp,A50,Stator fault,50,Component Replacement,Resolved,7169,3,2024-01-02,2024-01-05
290.bmp,A50,Stator fault,50,Component Replacement,Resolved,4202,3,2024-03-05,2024-03-08
f068.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-01-05,2024-01-05
f069.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-03-31,2024-03-31
f070.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-01-30,2024-01-30
f071.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-01-30,2024-01-30
f072.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-01-18,2024-01-18
f073.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-03-17,2024-03-17
f074.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-03-07,2024-03-07
f075.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-04-10,2024-04-10
f076.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-01-15,2024-01-15
f077.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-01-02,2024-01-02
f078.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-02-09,2024-02-09
f079.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-03-04,2024-03-04
f080.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-02-12,2024-02-12
f081.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-02-12,2024-02-12
f082.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-03-20,2024-03-20
f083.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-04-10,2024-04-10
f084.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-03-01,2024-03-01
f085.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-03-22,2024-03-22
f086.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-01-16,2024-01-16
f087.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-03-26,2024-03-26
f088.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-01-22,2024-01-22
f089.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-01-11,2024-01-11
f090.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-02-26,2024-02-26
f091.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-03-23,2024-03-23
f092.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-01-03,2024-01-03
f093.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-01-01,2024-01-01
f094.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-03-31,2024-03-31
f095.bmp,Fan,Cooling fan fault,0,Monitoring Only,Monitoring,0,0,2024-03-03,2024-03-03
002.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-02-08,2024-02-08
003.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-03-28,2024-03-28
004.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-01-03,2024-01-03
005.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-01-15,2024-01-15
006.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-01-11,2024-01-11
007.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-01-28,2024-01-28
008.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-03-09,2024-03-09
009.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-02-11,2024-02-11
010.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-02-13,2024-02-13
011.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-04-02,2024-04-02
012.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-01-06,2024-01-06
013.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-02-25,2024-02-25
014.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-03-02,2024-03-02
015.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-01-12,2024-01-12
016.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-04-07,2024-04-07
017.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-03-14,2024-03-14
018.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-01-03,2024-01-03
019.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-02-28,2024-02-28
020.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-01-13,2024-01-13
021.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-03-17,2024-03-17
022.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-03-14,2024-03-14
023.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-02-14,2024-02-14
024.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-01-28,2024-01-28
025.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-03-08,2024-03-08
026.bmp,Noload,Healthy,0,No action,No issue,0,0,2024-02-01,2024-02-01
r030.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-03-17,2024-03-17
r031.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-02-16,2024-02-16
r032.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-01-12,2024-01-12
r033.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-01-30,2024-01-30
r034.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-01-31,2024-01-31
r035.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-02-21,2024-02-21
r036.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-02-24,2024-02-24
r037.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-02-03,2024-02-03
r038.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-03-29,2024-03-29
r039.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-03-12,2024-03-12
r040.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-03-12,2024-03-12
r041.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-04-08,2024-04-08
r042.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-03-10,2024-03-10
r043.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-01-05,2024-01-05
r044.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-01-15,2024-01-15
r045.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-03-01,2024-03-01
r046.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-03-15,2024-03-15
r047.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-02-10,2024-02-10
r048.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-03-31,2024-03-31
r049.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-01-29,2024-01-29
r050.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-03-07,2024-03-07
r051.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-01-22,2024-01-22
r052.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-02-11,2024-02-11
r053.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-03-11,2024-03-11
r054.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-03-29,2024-03-29
r055.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-02-03,2024-02-03
r056.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-04-09,2024-04-09
r057.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-01-28,2024-01-28
r058.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-02-18,2024-02-18
r059.bmp,Rotor-0,Rotor fault,0,Monitoring Only,Monitoring,0,0,2024-01-20,2024-01-20
